ratio,attacks
A,97
A,169
A,136
A,100
A,129
A,91
A,120
A,204
A,178
A,163
A,99
A,93
A,129
A,175
A,183
A,140
A,149
B,101
B,112
B,121
B,99
B,107
B,77
B,202
B,154
B,175
B,161
B,187
B,201
B,189
B,168
B,155
B,283
B,192
C,71
C,72
C,101
C,114
C,141
C,148
C,122
C,185
C,152
C,126
C,178
C,115
C,208
C,211
C,278
C,212
C,251
D,79
D,83
D,131
D,88
D,92
D,106
D,122
D,115
D,94
D,136
D,124
D,180
D,209
D,232
D,175
D,286
D,235
E,109
E,99
E,96
E,117
E,158
E,128
E,15
E,23
E,25
E,199
E,155
E,198
E,203
E,181
E,146
E,248
E,259
