Group,Gender,Replicate,Height
1,F,1,155
1,F,2,160
1,F,3,155
1,F,4,161
1,F,5,167
1,F,6,155
1,F,7,162
1,F,8,171
1,F,9,168
1,F,10,168
1,F,11,174
1,F,12,150
1,F,13,166
1,F,14,178
1,F,15,159
2,F,1,164
2,F,2,159
2,F,3,176
2,F,4,182
2,F,5,180
2,F,6,162
2,F,7,180
2,F,8,148
2,F,9,175
2,F,10,168
2,F,11,180
2,F,12,160
2,F,13,172
2,F,14,165
2,F,15,175
2,F,16,165
1,M,1,188
1,M,2,187
1,M,3,185
1,M,4,180
1,M,5,174
1,M,6,175
1,M,7,174
1,M,8,183
1,M,9,183
1,M,10,185
1,M,11,194
1,M,12,187
1,M,13,190
1,M,14,173
1,M,15,176
2,M,1,179
2,M,2,194
2,M,3,191
2,M,4,183
2,M,5,197
2,M,6,185
2,M,7,176
2,M,8,180
2,M,9,190
2,M,10,176
2,M,11,182
2,M,12,193
2,M,13,190
2,M,14,191
2,M,15,178
